Fecha,Tipo,Partos,Cantidad,Procedencia,Peso Promedio,Hierro,ID,Potrero,Comentarios,Fecha Nacimiento,Fecha Adquisición,Fecha_baja
2025-05-22,Vaca de ordeño,2.0,1,Nacido en finca,420.0,Sí,00002,Potrero 1,Herencia Sergio Vega,2022-05-04,,
2025-05-22,Vaca de ordeño,1.0,1,Nacido en finca,400.0,Sí,00004,Potrero 1,Herencia Sergio Vega,2023-01-03,,
2025-05-22,Novilla,,1,Nacido en finca,400.0,Sí,00029,Potrero 3,Prospecto para ordeño,2023-01-03,,
2025-05-22,Novilla,,1,Nacido en finca,400.0,Sí,00030,Potrero 3,Prospecto para ordeño,2023-02-14,,
2025-05-22,Vaca de ordeño,3.0,1,Nacido en finca,470.0,Sí,00003,Potrero 1,Herencia Sergio Vega,2019-01-08,,
2025-05-22,Mauta,,1,Adquirido,300.0,Sí,,Potrero 2,Mauta para ordeño,,2024-02-15,
2025-05-22,Mauta,,1,Nacido en finca,0.0,Sí,,Potrero 2,Mauta para engorde,2023-12-28,,
2025-05-22,Vaca de ordeño,2.0,1,Nacido en finca,450.0,Sí,00005,Potrero 1,Herencia Sergio Vega,2022-05-17,,
2025-05-22,Vaca de ordeño,1.0,1,Nacido en finca,450.0,Sí,00006,Potrero 1,Herencia Sergio Vega,2023-05-02,,
2025-05-22,Vaca de ordeño,1.0,1,Nacido en finca,400.0,Sí,00008,Potrero 1,Herencia Sergio Vega,2023-02-24,,
2025-05-22,Vaca,2.0,1,Adquirido,450.0,Sí,00024,Potrero 1,Comprada a Cheo Vega,,2023-05-03,
2025-05-22,Maute,,1,Nacido en finca,380.0,Sí,,Potrero 8,Maute de engorde,2023-01-03,,
2025-05-22,Maute,,1,Nacido en finca,380.0,Sí,,Potrero 8,Maute de engorde,2023-01-04,,
2025-05-22,Maute,,1,Nacido en finca,400.0,Sí,,Potrero 8,Maute de engorde,2023-01-05,,
2025-05-22,Becerra,,1,Nacido en finca,0.0,No,,Potrero 1,,2024-11-11,,
2025-05-22,Becerra,,1,Nacido en finca,0.0,No,,Potrero 1,,2025-03-06,,
2025-05-22,Becerra,,1,Nacido en finca,0.0,No,,Potrero 1,,2025-03-20,,
2025-05-22,Becerra,,1,Nacido en finca,0.0,No,,Potrero 1,,2025-01-14,,
2025-05-22,Becerra,,1,Nacido en finca,0.0,No,,Potrero 1,,2024-12-01,,
2025-05-22,Vaca de ordeño,2.0,1,Adquirido,450.0,Sí,00012,Potrero 1,Comprada a Rafael Vega,,2022-02-01 00:00:00,
2025-05-22,Vaca de ordeño,1.0,1,Adquirido,500.0,Sí,00013,Potrero 1,Comprada a Doris Vega,,2023-02-08 00:00:00,
2025-05-22,Vaca de ordeño,1.0,1,Adquirido,500.0,Sí,00010,Potrero 1,Comprada a Rafael Vega,,2023-05-09,
2025-05-22,Vaca de ordeño,1.0,1,Adquirido,500.0,Sí,00014,Potrero 1,Intercambio por una Moto con Cheo Vega,,2024-01-02,
2025-05-22,Vaca de ordeño,2.0,1,Adquirido,550.0,Sí,00017,Potrero 1,Comprada a Oswaldo Flores,,2023-06-06,
2025-05-22,Vaca de ordeño,4.0,1,Nacido en finca,500.0,Sí,00015,Potrero 1,Herencia Sergio Vega,2018-05-20,,
2025-05-22,Vaca de ordeño,2.0,1,Nacido en finca,450.0,Sí,00016,Potrero 1,Herencia Sergio Vega,2021-08-10,,
2025-05-22,Vaca de ordeño,1.0,1,Nacido en finca,400.0,Sí,00018,Potrero 1,Herencia Sergio Vega,2023-10-25,,
2025-05-22,Becerra,,1,Nacido en finca,0.0,No,,Potrero 1,,2024-12-20,,
2025-05-22,Vaca de ordeño,2.0,1,Adquirido,400.0,Sí,00020,Potrero 1,Comprada a Rafael Vega,,2023-05-10,
2025-05-22,Vaca de ordeño,1.0,1,Adquirido,500.0,Sí,00021,Potrero 1,Comprada a Oswaldo Flores,,2021-05-05,
2025-05-22,Vaca Preñada,0.0,1,Nacido en finca,450.0,Sí,00025,Potrero 1,Herencia Sergio Vega,2023-02-02,,
2025-05-22,Vaca de ordeño,1.0,1,Adquirido,400.0,Sí,00022,Potrero 1,Comprada a Cheo Vega,,2024-05-14,
2025-05-22,Mauta,,1,Nacido en finca,350.0,Sí,,Potrero 2,Mauta para engorde,2023-11-09,,
2025-05-22,Mauta,,1,Nacido en finca,300.0,No,00040,Potrero 5,,2024-01-01,,
2025-05-22,Vaca Preñada,2.0,1,Nacido en finca,500.0,Sí,00026,Potrero 1,Herencia Sergio  Vega,2023-02-02,,
2025-05-25 00:00:00,Maute,,1,Nacido en finca,300.0,Sí,,Potrero 5,,2023-01-12 00:00:00,,
